id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,relation_ships,attribute_object,attribute_event
order_2,Check out,2026-03-19 20:44:57,2026-03-20 03:38:47,2026-03-20 05:13:49,Role 1,Sue,21,51,55,1,"[1.0, 0.0, 1.0, 0.0, 0.0]",1.0,13,"['Place Order', 'Check out']",{'item_2_1'},{},{}
item_17_0,Select,2026-03-20 05:04:48,2026-03-20 05:04:48,2026-03-20 05:14:21,Role Order 1,Sue,55,55,55,2,"[1.0, 0.0, 1.0, 0.0, 0.0]",1.0,0,['Select'],{'order_17'},{'Price': 237},{}
item_17_1,Select,2026-03-20 05:04:48,2026-03-20 05:04:48,2026-03-20 05:16:01,Role Order 1,Pete,55,55,55,2,"[1.0, 0.0, 1.0, 0.0, 0.0]",1.0,0,['Select'],{'order_17'},{'Price': 451},{}
item_17_0,Pick Item,2026-03-20 05:14:21,2026-03-20 05:14:21,2026-03-20 05:19:38,Role Order 2,Bob,55,55,55,1,"[1.0, 1.0, 0.5, 1.0, 0.0]",1.0,0,"['Select', 'Pick Item']",{'order_17'},{'Price': 237},{}
item_17_1,Pick Item,2026-03-20 05:16:01,2026-03-20 05:19:38,2026-03-20 05:25:21,Role Order 2,Bob,55,55,55,1,"[1.0, 1.0, 0.0, 1.0, 0.0]",1.0,0,"['Select', 'Pick Item']",{'order_17'},{'Price': 451},{}
order_18,Place Order,2026-03-19 21:02:51,2026-03-20 05:04:48,2026-03-20 05:42:34,Role 1,Pete,26,55,55,1,"[1.0, 0.0, 1.0, 0.0, 0.0]",1.0,15,['Place Order'],"{'item_18_1', 'item_18_0'}",{},{}
item_18_0,Select,2026-03-20 05:42:34,2026-03-20 05:42:34,2026-03-20 05:49:03,Role Order 1,Sue,57,57,57,2,"[1.0, 1.0, 1.0, 0.0, 0.0]",1.0,0,['Select'],{'order_18'},{'Price': 261},{}
order_19,Place Order,2026-03-19 21:06:09,2026-03-20 05:13:49,2026-03-20 05:53:28,Role 1,Sue,27,55,57,2,"[1.0, 1.0, 1.0, 0.0, 0.0]",1.0,16,['Place Order'],"{'item_19_1', 'item_19_0'}",{},{}
item_18_1,Select,2026-03-20 05:42:34,2026-03-20 05:42:34,2026-03-20 05:53:47,Role Order 1,Pete,57,57,59,2,"[1.0, 1.0, 1.0, 0.0, 0.0]",1.0,0,['Select'],{'order_18'},{'Price': 700},{}
item_18_0,Pick Item,2026-03-20 05:49:03,2026-03-20 05:49:03,2026-03-20 05:58:32,Role Order 2,Bob,57,57,59,1,"[1.0, 1.0, 0.5, 1.0, 0.0]",1.0,0,"['Select', 'Pick Item']",{'order_18'},{'Price': 261},{}
order_2,Pay CC,2026-03-20 05:13:49,2026-03-20 05:13:49,2026-03-20 06:00:52,Role 2,Bob,55,55,59,1,"[1.0, 1.0, 1.0, 0.0, 0.0]",1.0,0,"['Place Order', 'Check out', 'Pay CC']",{'item_2_1'},{},{}
